"state"	"fips"	"county"	"mukey"	"musym"	"muname"	"cokey"	"comppct"	"slope"	"slopelenusle"	"hzdept_r"	"hzdepb_r"	"kffact"	"dbthirdbar_r"	"ph1to1h2o_r"	"wthirdbar_r"	"wfifteenbar_r"	"awc_r"	"claytotal_r"	"sandtotal_r"	"ksat_r"	"om_r"	"ll_r"	"texdesc"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195536"	"10"	"2"		"36"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195537"	"3"	"8"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195537"	"3"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"26.7"	"11.9"	"0.18"	"18"	"51"	"9.17"	"2.5"	"33"	"Loam"
"IA"	"IA169"	"Story"	"411298"	"L236C"	"Lester loam, Bemis moraine, 6 to 10 percent slopes"	"16195537"	"3"	"8"		"20"	"140"	".37"	"1.55"	"7.5"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195634"	"85"	"8"	"40"	"0"	"15"	".32"	"1.35"	"6.6"	"29"	"15.3"	"0.18"	"24"	"39"	"9.17"	"2.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195634"	"85"	"8"	"40"	"15"	"97"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195634"	"85"	"8"	"40"	"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195635"	"3"	"2"		"20"	"36"	".28"	"1.35"	"6.2"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195635"	"3"	"2"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195635"	"3"	"2"		"0"	"20"	".28"	"1.35"	"6.2"	"30.8"	"18.2"	"0.21"	"24"	"39"	"9.17"	"5"	"45"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195635"	"3"	"2"		"36"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195636"	"10"	"8"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195636"	"10"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"26.7"	"11.9"	"0.18"	"18"	"51"	"9.17"	"2.5"	"33"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195636"	"10"	"8"		"20"	"140"	".37"	"1.55"	"7.5"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195637"	"2"	"3"		"86"	"132"	".32"	"1.4"	"6.6"	"26.6"	"11.7"	"0.18"	"20"	"50"	"9.17"	"0.75"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195637"	"2"	"3"		"23"	"86"	".28"	"1.35"	"6.2"	"28.1"	"13.8"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195637"	"2"	"3"		"132"	"200"	".32"	"1.6"	"7"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411299"	"L236C2"	"Lester loam, Bemis moraine, 6 to 10 percent slopes, moderately eroded"	"16195637"	"2"	"3"		"0"	"23"	".28"	"1.3"	"6.2"	"28.6"	"14.5"	"0.21"	"21"	"46"	"9.17"	"3.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195538"	"3"	"8"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195538"	"3"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"26.7"	"11.9"	"0.18"	"18"	"51"	"9.17"	"2.5"	"33"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195538"	"3"	"8"		"20"	"140"	".37"	"1.55"	"7.5"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195539"	"2"	"3"		"86"	"132"	".32"	"1.4"	"6.6"	"26.6"	"11.7"	"0.18"	"20"	"50"	"9.17"	"0.75"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195539"	"2"	"3"		"23"	"86"	".28"	"1.35"	"6.2"	"28.1"	"13.8"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195539"	"2"	"3"		"132"	"200"	".32"	"1.6"	"7"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195539"	"2"	"3"		"0"	"23"	".28"	"1.3"	"6.2"	"28.6"	"14.5"	"0.21"	"21"	"46"	"9.17"	"3.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195540"	"10"	"7"		"23"	"38"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195540"	"10"	"7"		"38"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195540"	"10"	"7"		"0"	"23"	".28"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195540"	"10"	"7"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195541"	"85"	"14"	"40"	"23"	"38"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195541"	"85"	"14"	"40"	"38"	"97"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195541"	"85"	"14"	"40"	"0"	"23"	".24"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411300"	"236D"	"Lester loam, Bemis moraine, 10 to 16 percent slopes"	"16195541"	"85"	"14"	"40"	"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195542"	"3"	"8"		"0"	"15"	".32"	"1.35"	"6.6"	"29"	"15.3"	"0.18"	"24"	"39"	"9.17"	"2.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195542"	"3"	"8"		"15"	"97"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195542"	"3"	"8"		"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195543"	"85"	"14"	"40"	"15"	"97"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195543"	"85"	"14"	"40"	"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195543"	"85"	"14"	"40"	"0"	"15"	".32"	"1.35"	"6.6"	"29"	"15.3"	"0.18"	"24"	"39"	"9.17"	"2.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195544"	"10"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"26.7"	"11.9"	"0.18"	"18"	"51"	"9.17"	"2.5"	"33"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195544"	"10"	"8"		"20"	"140"	".37"	"1.55"	"7.5"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195544"	"10"	"8"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195545"	"2"	"3"		"86"	"132"	".32"	"1.4"	"6.6"	"26.6"	"11.7"	"0.18"	"20"	"50"	"9.17"	"0.75"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195545"	"2"	"3"		"23"	"86"	".28"	"1.35"	"6.2"	"28.1"	"13.8"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195545"	"2"	"3"		"132"	"200"	".32"	"1.6"	"7"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411301"	"236D2"	"Lester loam, Bemis moraine, 10 to 16 percent slopes, moderately eroded"	"16195545"	"2"	"3"		"0"	"23"	".28"	"1.3"	"6.2"	"28.6"	"14.5"	"0.21"	"21"	"46"	"9.17"	"3.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195638"	"10"	"8"		"140"	"200"	".37"	"1.5"	"8"	"24.2"	"9"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195638"	"10"	"8"		"0"	"20"	".28"	"1.3"	"7.7"	"26.7"	"11.9"	"0.18"	"18"	"51"	"9.17"	"2.5"	"33"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195638"	"10"	"8"		"20"	"140"	".37"	"1.55"	"7.5"	"27.6"	"13.2"	"0.18"	"21"	"42"	"9.17"	"0.5"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195639"	"2"	"3"		"86"	"132"	".32"	"1.4"	"6.6"	"26.6"	"11.7"	"0.18"	"20"	"50"	"9.17"	"0.75"	"32"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195639"	"2"	"3"		"23"	"86"	".28"	"1.35"	"6.2"	"28.1"	"13.8"	"0.18"	"21"	"46"	"9.17"	"2.5"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195639"	"2"	"3"		"132"	"200"	".32"	"1.6"	"7"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195639"	"2"	"3"		"0"	"23"	".28"	"1.3"	"6.2"	"28.6"	"14.5"	"0.21"	"21"	"46"	"9.17"	"3.5"	"39"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195640"	"3"	"14"		"23"	"38"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195640"	"3"	"14"		"38"	"132"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195640"	"3"	"14"		"0"	"23"	".28"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195640"	"3"	"14"		"132"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195641"	"85"	"20"	"40"	"23"	"30"	".32"	"1.5"	"6.7"	"28.7"	"14.9"	"0.18"	"24"	"39"	"9.17"	"1"	"36"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195641"	"85"	"20"	"40"	"30"	"97"	".32"	"1.5"	"6.3"	"31.1"	"18.8"	"0.17"	"30"	"33"	"2.82"	"0.75"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195641"	"85"	"20"	"40"	"0"	"23"	".24"	"1.35"	"6.6"	"29.4"	"15.8"	"0.21"	"24"	"39"	"9.17"	"3"	"40"	"Loam"
"IA"	"IA169"	"Story"	"411303"	"236F"	"Lester loam, Bemis moraine, 10 to 22 percent slopes"	"16195641"	"85"	"20"	"40"	"97"	"200"	".37"	"1.6"	"8"	"24.6"	"9.5"	"0.18"	"15"	"49"	"9.17"	"0.25"	"25"	"Loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195671"	"5"	"4"		"46"	"91"	".32"	"1.6"	"6.7"	"29.3"	"16.5"	"0.18"	"26"	"37.4"	"9"	"0.75"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195671"	"5"	"4"		"91"	"152"	".43"	"1.6"	"7.9"	"25"	"10.5"	"0.18"	"17"	"43.3"	"9"	"0.25"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195671"	"5"	"4"		"0"	"18"	".24"	"1.43"	"6.5"	"29.7"	"16"	"0.21"	"21"	"41.6"	"9"	"3.5"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195671"	"5"	"4"		"18"	"46"	".32"	"1.43"	"6.5"	"28.9"	"14.7"	"0.21"	"21"	"41.6"	"9"	"2.5"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195673"	"90"	"4"	"30"	"0"	"20"	".17"	"1.48"	"6.5"	"21.4"	"12.1"	"0.17"	"14"	"66.1"	"28"	"2"	"22.5"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195673"	"90"	"4"	"30"	"20"	"36"	".28"	"1.48"	"6.5"	"20.8"	"11.4"	"0.17"	"14"	"66.1"	"28"	"1.5"	"22.5"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195673"	"90"	"4"	"30"	"36"	"61"	".28"	"1.55"	"6.1"	"19.8"	"10.2"	"0.16"	"13"	"66.9"	"28"	"0.75"	"22.5"	"Fine sandy loam"
"IA"	"IA169"	"Story"	"411304"	"253B"	"Farrar fine sandy loam, 2 to 5 percent slopes"	"16195673"	"90"	"4"	"30"	"61"	"152"	".37"	"1.7"	"7.3"	"27.5"	"13.7"	"0.18"	"21"	"41.6"	"9"	"0.25"	"32.5"	"Loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195615"	"85"	"1"	"27"	"52"	"88"	".24"	"1.3"	"7.2"	"20.9"	"12.7"	"0.17"	"22"	"52"	"9.17"	"1.5"	"35"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195615"	"85"	"1"	"27"	"88"	"200"	".02"	"1.6"	"7.9"	"10.3"	"3.5"	"0.06"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195615"	"85"	"1"	"27"	"20"	"52"	".24"	"1.25"	"7"	"31.5"	"18.9"	"0.17"	"27"	"39"	"2.82"	"5"	"47"	"Clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195615"	"85"	"1"	"27"	"0"	"20"	".24"	"1.25"	"6.9"	"32.7"	"21.1"	"0.18"	"27"	"36"	"2.82"	"7"	"51"	"Clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195616"	"10"	"0"		"18"	"51"	".24"	"1.2"	"7"	"32.8"	"21.3"	"0.17"	"27"	"39"	"2.82"	"8"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195616"	"10"	"0"		"0"	"18"	".24"	"1.2"	"6.9"	"34.3"	"24.2"	"0.18"	"29"	"32"	"2.82"	"10"	"59"	"Clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195616"	"10"	"0"		"71"	"200"	".02"	"1.6"	"7.5"	"10.6"	"3.8"	"0.04"	"6"	"85"	"91.74"	"0.5"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195616"	"10"	"0"		"51"	"71"	".24"	"1.3"	"7.2"	"21.3"	"13.2"	"0.17"	"22"	"52"	"9.17"	"2"	"36"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195617"	"3"	"1"		"84"	"200"	".02"	"1.6"	"7.6"	"10.3"	"3.5"	"0.09"	"6"	"85"	"91.74"	"0.25"	"17"	"Gravelly loamy coarse sand"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195617"	"3"	"1"		"23"	"53"	".24"	"1.25"	"7.6"	"30.5"	"17.4"	"0.21"	"25"	"39"	"9.17"	"5"	"45"	"Loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195617"	"3"	"1"		"0"	"23"	".24"	"1.25"	"7.6"	"31.8"	"19.6"	"0.21"	"25"	"36"	"9.17"	"7"	"48"	"Loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195617"	"3"	"1"		"53"	"84"	".24"	"1.3"	"7.6"	"20.9"	"12.7"	"0.17"	"22"	"52"	"9.17"	"1.5"	"34"	"Sandy clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195618"	"2"	"0"		"0"	"20"	".32"	"0.95"	"6.8"	"33.5"	"21"	"0.22"	"36"	"11"	"0.92"	"9"	"64"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195618"	"2"	"0"		"97"	"200"	".37"	"1.6"	"7.4"	"31.6"	"19.3"	"0.19"	"31"	"16"	"2.82"	"0.25"	"41"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195618"	"2"	"0"		"84"	"97"	".37"	"1.4"	"7.1"	"34"	"22"	"0.19"	"36"	"15"	"0.92"	"1.5"	"49"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411305"	"259"	"Biscay clay loam, 0 to 2 percent slopes"	"16195618"	"2"	"0"		"20"	"84"	".32"	"1.3"	"7"	"35.8"	"25.4"	"0.22"	"36"	"12"	"0.92"	"6"	"58"	"Silty clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195546"	"85"	"0"	"25"	"0"	"25"	".32"	"1.38"	"6.2"	"35.2"	"24.7"	"0.23"	"25"	"18"	"9.17"	"9"	"53"	"Silt loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195546"	"85"	"0"	"25"	"25"	"53"	".49"	"1.38"	"6.2"	"28.7"	"13.9"	"0.21"	"22"	"15"	"9.17"	"1.5"	"35"	"Silt loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195546"	"85"	"0"	"25"	"53"	"140"	".32"	"1.45"	"6.7"	"31"	"23"	"0.12"	"41"	"9"	"0.92"	"0.75"	"53"	"Silty clay"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195546"	"85"	"0"	"25"	"180"	"200"	".37"	"1.6"	"7.6"	"31"	"18.3"	"0.15"	"28"	"35"	"2.82"	"0.25"	"37"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195546"	"85"	"0"	"25"	"140"	"180"	".32"	"1.55"	"7.6"	"31.1"	"18.4"	"0.15"	"29"	"34"	"2.82"	"0.25"	"38"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195547"	"10"	"1"		"107"	"200"	".32"	"1.6"	"8"	"27.6"	"13.2"	"0.18"	"21"	"44"	"9.17"	"0.25"	"31"	"Loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195547"	"10"	"1"		"51"	"107"	".32"	"1.4"	"7.3"	"30.7"	"17.6"	"0.17"	"28"	"35"	"2.82"	"1.5"	"41"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195547"	"10"	"1"		"0"	"25"	".28"	"1.05"	"6.5"	"31.8"	"19.8"	"0.18"	"33"	"25"	"2.82"	"7"	"56"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195547"	"10"	"1"		"25"	"51"	".28"	"1.35"	"6.9"	"33.9"	"23.5"	"0.18"	"33"	"25"	"2.82"	"5"	"53"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195548"	"5"	"0"		"127"	"200"	".37"	"1.6"	"8"	"31"	"18.3"	"0.15"	"28"	"35"	"2.82"	"0.25"	"37"	"Clay loam"
"IA"	"IA169"	"Story"	"411306"	"274"	"Rolfe silt loam, 0 to 1 percent slopes"	"16195548"	"5"	"0"		"99"	"127"	".32"	"1.4"	"7.3"	"31.7"	"19.3"	"0.17"	"31"	"24"	"2.82"	"1.5"	"44"	"Clay loam"
